( 1.0182808913404466 , 9.892648362691238 )
( 6.678695107800484 , 4.386462121248707 )
( 6.8521390260056645 , 4.288808264544815 )
( 6.864854751236787 , 4.26618100930939 )
( 6.883573758542418 , 4.2313300493217945 )
( 6.905503439970763 , 4.1885936265221355 )
( 6.988399431644398 , 4.02143452437396 )
( 10.014882350987078 , 5.2453475216826995 )
( 10.12616023790363 , 5.52732770746324 )
( 10.141519168083962 , 5.682610264919239 )
( 10.283440194375109 , 5.706457103856772 )
( 10.297470976818524 , 6.000925802208792 )
( 10.319485647693842 , 6.020858985696934 )
( 10.347552119362051 , 6.678147706991075 )
( 10.370246066787494 , 6.924163143664515 )
( 10.37929762540402 , 7.088029991926886 )
( 10.405172925106067 , 7.3489116945748165 )
( 10.420095012645382 , 7.494544710675541 )
( 10.470887640397777 , 7.511122170533424 )
( 10.509326263426379 , 7.621851958045289 )
( 10.527317881304397 , 7.702641222090154 )
( 10.541066167853181 , 7.736290380755664 )
( 10.569759510334897 , 7.849889187343846 )
( 10.61600485262316 , 8.398312719586878 )
( 10.631947897719662 , 8.546605453896374 )
( 10.724305704028035 , 8.647959380794966 )
( 10.74912268177943 , 8.669454151555064 )
( 10.82417246041903 , 8.96035503503604 )
( 10.833209775900718 , 8.97553085356297 )
( 10.866319034879627 , 9.068044254431296 )
( 10.934809707578808 , 9.223915702700571 )
( 10.93795334577652 , 9.232278193350238 )
( 10.961483211089314 , 9.241001222519975 )
( 10.968880254775888 , 9.340321593227946 )
( 11.002638236136656 , 9.530082906784964 )
( 11.04444931722339 , 9.697332971412393 )
( 11.162519393517107 , 9.850088229460972 )
( 11.216915652814647 , 10.02769626307479 )
( 11.263096415231116 , 10.305915957850011 )
( 11.315413858963158 , 10.340731888042354 )
( 11.33438573051356 , 10.692271754838842 )
( 11.444122263676576 , 10.713087756114028 )
( 11.488119133290642 , 10.930196100863744 )
( 11.540293513115543 , 11.022657632695699 )
( 11.608480500928586 , 11.063223609404734 )
( 11.6261157680655 , 11.233351234654037 )
( 11.664926045359348 , 11.280734210846413 )
( 11.696924286138904 , 11.296804248171842 )
( 11.75207843892462 , 11.501033116199622 )
( 11.884054412176608 , 11.650486368426249 )
( 11.947197872735737 , 11.715454508945584 )
( 12.01970668918854 , 11.78274736871931 )
( 12.147620402743478 , 11.949446920080211 )
( 12.158666269236928 , 12.316945301043217 )
( 12.266380514827611 , 12.424032285881475 )
( 12.31542364941051 , 12.589360183488308 )
( 12.321857561807928 , 12.627456780905263 )
( 12.32427771847044 , 12.788879311491941 )
( 12.359252793572605 , 12.842697448288401 )
( 12.401286443156279 , 13.019033783752972 )
( 12.4198515089255 , 13.04873065733863 )
( 12.459456587722832 , 13.119955484832454 )
( 12.516589278641158 , 13.29574425098925 )
( 12.544737695006102 , 13.312095511760733 )
( 12.583064632782758 , 13.397168189777679 )
( 12.593642327365552 , 13.604932230435116 )
( 12.612395336129007 , 13.6486769958527 )
( 12.627046835584782 , 13.75803419967224 )
( 12.67499094409722 , 13.81162297578035 )
( 12.722623966006374 , 14.052303306277489 )
( 12.723380288613338 , 14.150427632055369 )
( 12.731846939710877 , 14.206593552892699 )
( 12.757885606895458 , 14.20985520702761 )
( 12.76852853505946 , 14.453423509175757 )
( 12.808907492125705 , 14.62431909839273 )
( 12.844084972547236 , 14.738345066949877 )
( 12.974709937481766 , 14.82314600726318 )
( 12.982831986180578 , 14.931736244117092 )
( 13.008450631355567 , 15.10843191493286 )
( 13.082753765711214 , 15.582832572590284 )
( 13.10125237992549 , 15.593912419783727 )
( 13.10601614069028 , 15.881565694142244 )
( 13.110442518905073 , 15.945569917613993 )
( 13.15448129764799 , 16.29214920064454 )
( 13.177585006865769 , 16.429697851253962 )
( 13.204361282818907 , 16.867598301816173 )
( 13.208962367774987 , 16.880234747299145 )
( 13.234306942187334 , 17.12175871277605 )
( 13.247712571418012 , 17.275128909103522 )
( 13.255802956906185 , 17.338784936608864 )
( 13.319093059785292 , 17.455635119003116 )
( 13.332507296393535 , 17.60521959855277 )
( 13.34366654834486 , 17.773081820860654 )
( 13.463749380526778 , 17.88347945101038 )
( 13.551171500134217 , 17.954106722317665 )
( 13.599301294313626 , 18.03532287070128 )
( 13.677627247498773 , 18.14358860981786 )
( 13.695417082807376 , 18.53153248237563 )
( 13.722866893118427 , 18.749616532008798 )
( 13.727120307714918 , 18.752498184262585 )
( 13.750415467149061 , 19.048929274177453 )
( 13.823002384454776 , 19.28761735338033 )
( 13.837287329449836 , 19.334522568349183 )
( 13.894037081416391 , 20.61871099329538 )
( 13.907298835706463 , 20.871820785694517 )
( 13.959104196287244 , 20.891328314741664 )
( 13.985340319140866 , 20.914582814367755 )
( 14.06438090809056 , 3.0067743097224735 )
( 14.131494335859854 , 3.008071893842669 )
( 14.185589739051949 , 3.04172372436698 )
( 14.329606958170878 , 3.0456342703698844 )
( 14.521596285538575 , 3.057481237870557 )
( 14.54548383930008 , 3.0623650796165043 )
( 14.548764869353942 , 3.0781855875130653 )
( 14.569021661431854 , 3.0788413153581806 )
( 14.59496208330117 , 3.1161665137032877 )
( 14.63492544805826 , 3.1356077581450537 )
( 14.714655413121136 , 3.140205387225725 )
( 14.743708423493272 , 3.150697386140285 )
( 14.772589141334 , 3.1659126879048394 )
( 14.775990743910164 , 3.168478987169319 )
( 14.815640753045763 , 3.172195521730547 )
( 14.858069523685781 , 3.200534903473578 )
( 14.960125779138748 , 3.201070742598313 )
( 14.987168985153566 , 3.214220970321441 )
( 15.012530848159432 , 3.2249634748245724 )
( 15.052687119075285 , 3.227868324170769 )
( 15.066581315194917 , 3.236884469478527 )
( 15.089953733586082 , 3.2409978334571274 )
( 15.12435790933381 , 3.2460327927775503 )
( 15.158160169443788 , 3.2582737878295256 )
( 15.317396790445576 , 3.2588730181396013 )
( 15.321687548706073 , 3.2776221673502333 )
( 15.329069828229603 , 3.328640486848747 )
( 15.4197777807713 , 3.335266623088063 )
( 15.420619189283528 , 3.3699894884059933 )
( 15.529777131761655 , 3.3947448364991537 )
( 15.580986932699663 , 3.4107666236453467 )
( 15.69656978897328 , 3.445565446589817 )
( 15.72799862700525 , 3.464662234483751 )
( 15.73041787174668 , 3.4736695082062643 )
( 15.742953222449323 , 3.4870028962230597 )
( 15.79067524196789 , 3.4875313603990996 )
( 15.800773239113823 , 3.489631387010201 )
( 15.831480482547096 , 3.516722020503118 )
( 15.875555543547495 , 3.5542494346736557 )
( 15.887999880591686 , 3.5552041773523415 )
( 15.930675812878524 , 3.560450056805746 )
( 15.95316072385463 , 3.587761691832317 )
( 16.020804099895493 , 3.620779191631286 )
( 16.072512066541194 , 3.6389223578707153 )
( 16.084635576153143 , 3.6565353406517014 )
( 16.086262738316268 , 3.6605138495910134 )
( 16.086723590153746 , 3.6674293051275066 )
( 16.097099746839532 , 3.6924960788626358 )
( 16.11234742688523 , 3.753477631567258 )
( 16.169287015691328 , 3.7541576426297816 )
( 16.255247087276715 , 3.787206007714577 )
( 16.426426024460604 , 3.792405950703012 )
( 16.465959829272016 , 3.8032613571423033 )
( 16.516272982277485 , 3.8212509209639673 )
( 16.604894732641696 , 3.8496163129736938 )
( 16.77291634427772 , 3.8503281434870615 )
( 16.832929737892787 , 3.892094310088331 )
( 16.867463339601002 , 3.956624385507806 )
( 17.007188746961578 , 3.960956666248129 )
( 17.028047448654977 , 3.9736425341347674 )
( 17.053147942757402 , 4.013075300073094 )
( 17.107523338701036 , 4.055523688960467 )
( 17.20491279117631 , 4.055533465627738 )
( 17.253727191474695 , 4.091223305535051 )
( 17.288392780970295 , 4.13287738492034 )
( 17.291706296180248 , 4.219595272411004 )
( 17.313576293424216 , 4.225525755332656 )
( 17.352061079188157 , 4.23335467668255 )
( 17.3838354499551 , 4.242969845917127 )
( 17.428677843721037 , 4.251088204403139 )
( 17.45829312649031 , 4.278099315420928 )
( 17.478973589700878 , 4.30246588951563 )
( 17.640369615155755 , 4.35335821245948 )
( 17.69232851098872 , 4.381178261105779 )
( 17.80601851278731 , 4.391416219537672 )
( 17.806354769984694 , 4.451602271061947 )
( 17.812039561087452 , 4.461409838335911 )
( 17.875008062347455 , 4.4713301825257155 )
( 17.89610815547489 , 4.473824542901152 )
( 17.983247988829707 , 4.481510218393824 )
( 18.090068969419846 , 4.533038139150151 )
( 18.123826862702824 , 4.545375263613125 )
( 18.13391979543116 , 4.585040353160294 )
( 18.28596965248938 , 4.610089040249823 )
( 18.324418769531203 , 4.623441553624745 )
( 18.349984874869406 , 4.629864985797598 )
( 18.392490769932085 , 4.63139632504902 )
( 18.397346568278063 , 4.6416087519420905 )
( 18.52503152396467 , 4.684361444982921 )
( 18.54354247748816 , 4.700730119567188 )
( 18.59174689482975 , 4.74468385121125 )
( 18.601504655751032 , 4.770353115731085 )
( 18.60192415491612 , 4.798209592945721 )
( 18.60212503269817 , 4.857342577203707 )
( 18.610913516004807 , 4.859443604362914 )
( 18.695428414842404 , 4.872154602492145 )
( 18.764681884896184 , 4.904736643768105 )
( 18.800420800453296 , 4.919040910960758 )
( 18.82082876132864 , 4.9623744197305895 )
( 18.8972809879561 , 4.974183269029467 )
( 19.012873301473892 , 7.944883493517979 )
( 19.014141974818948 , 7.667522120927524 )
( 19.02413437081571 , 7.660698055252402 )
( 19.03219982038872 , 7.5803227995949465 )
( 19.0578719387313 , 7.536861426671977 )
( 19.079450453158337 , 7.433597625479428 )
( 19.08739405391121 , 7.341406921260938 )
( 19.1388324450051 , 7.2772664228638595 )
( 19.151357168472362 , 7.189975667708585 )
( 19.176198571813845 , 7.1734174474011665 )
( 19.205801336911932 , 7.125403056456594 )
( 19.220708081457452 , 6.997183030937519 )
( 19.251979240330716 , 6.983022264733094 )
( 19.255062497217153 , 6.982281928963028 )
( 19.268748166164738 , 6.981807173489896 )
( 19.282053314186346 , 6.874442947266456 )
( 19.32426702644024 , 6.703253663108709 )
( 19.33382961390119 , 6.6861436842022 )
( 19.369600871429494 , 6.669691888136192 )
( 19.375719197088742 , 6.650166737827448 )
( 19.38360349079846 , 6.633412313012331 )
( 19.395872347599326 , 6.609094064427229 )
( 19.401896155452427 , 6.54446710314271 )
( 19.435040831718272 , 6.463699871404517 )
( 19.455169406744332 , 6.453817307959598 )
( 19.464982350523933 , 6.404224799270846 )
( 19.50107054361076 , 6.358022998659903 )

( 19.50448019656719 , 6.27814848867814 )
( 19.506408049927593 , 6.21731738431886 )
( 19.524734506258582 , 6.16119312182302 )
( 19.52555484300845 , 6.077030580500297 )
( 19.53803897697544 , 6.056404787164484 )
( 19.57665614826521 , 6.0355798541880645 )
( 19.60318945338871 , 5.946097362164245 )
( 19.611623623653273 , 5.7797612780417 )
( 19.621059384569467 , 5.760905067075382 )
( 19.671186526917875 , 5.386805795237759 )
( 19.682842564606183 , 5.363801265539161 )
( 19.717304018922896 , 5.326981981343947 )
( 19.759079258476138 , 5.308591264201384 )
( 19.763488353320465 , 4.846932930587508 )
( 19.77067510153877 , 4.821088123507705 )
( 19.794326458469047 , 4.785610137583947 )
( 19.81910746222336 , 4.723245323694409 )
( 19.829333237165304 , 4.712123142064072 )
( 19.86805413146033 , 4.631304655859772 )
( 19.878387606671943 , 4.614296910365361 )
( 19.89251908893964 , 4.55397082339239 )
( 19.95690685217947 , 4.534430850427409 )
( 19.986914792607173 , 4.4910100299972004 )
( 20.024092522201123 , 4.473644970146456 )
( 20.07566532108725 , 4.468322384702063 )
( 20.08935356076826 , 4.428321593832475 )
( 20.093975552209244 , 4.412930354750912 )
( 20.11921431976233 , 4.411536226340723 )
( 20.14780329889247 , 4.392155375514447 )
( 20.16034161736497 , 4.249240716808623 )
( 20.16224982145652 , 4.047993778509396 )
( 20.170529920781856 , 4.00550995169805 )
( 20.18611172137914 , 3.9947742707233305 )
( 20.205759960927665 , 3.8325193752868865 )
( 20.233901419523992 , 3.686421604405612 )
( 20.243123548189544 , 3.644738078405055 )
( 20.300409609083484 , 3.6442624903541834 )
( 20.30432619680999 , 3.6285628807278147 )
( 20.31555849160059 , 3.625075713041811 )
( 20.316808930168673 , 3.599892699846923 )
( 20.344967442552438 , 3.508947618802951 )
( 20.35800233156866 , 3.451813725953639 )
( 20.373698890522284 , 3.2618168036917954 )
( 20.42398998099027 , 3.2531801754745864 )
( 20.44816648937618 , 3.010241494487164 )
( 20.465753450910913 , 2.8592698757220134 )
( 20.472735050256983 , 2.7979540130406138 )
( 20.49439214261746 , 2.7424243249150484 )
( 20.503421459705134 , 2.643920414675799 )
( 20.513061926291005 , 2.639330862327262 )
( 20.515870945364576 , 2.5806030662667876 )
( 20.538707708800484 , 2.5469399509429174 )
( 20.578508105493547 , 2.534711943700673 )
( 20.579901007367443 , 2.5308851901167424 )
( 20.59472716284239 , 2.3058390414077286 )
( 20.60956514200692 , 2.2944427255722104 )
( 20.628249149905404 , 2.293220672665732 )
( 20.646616135522045 , 2.229037846602515 )
( 20.654560027591703 , 2.1904742583686048 )
( 20.66993453115872 , 2.0412998467810857 )
( 20.714439402211845 , 1.970174875627543 )
( 20.72385746320094 , 1.84642802657664 )
( 20.773190665907673 , 1.8139270362515996 )
( 20.78756309011101 , 1.8073877038715693 )
( 20.81493048756207 , 1.739924603814682 )
( 20.842651445406954 , 1.7071282450316545 )
( 20.8462133768135 , 1.6690857812547737 )
( 20.86737705590171 , 1.5549686287510704 )
( 20.878021959404734 , 1.4968536191806496 )
( 20.90027902802926 , 1.2071348014247452 )
( 20.956282861097712 , 1.0909353183043438 )
( 20.988680327427502 , 1.0599277852683766 )
( 20.997876373319844 , 1.0485738253558257 )
