for i in range(400):

    print("(",x[i],",",y[i],")")

( 1.0182808913404466 , 9.892648362691238 )
( 6.548873573975278 , 4.38718639029539 )
( 6.678695107800484 , 4.386462121248707 )
( 6.8521390260056645 , 4.288808264544815 )
( 6.864854751236787 , 4.26618100930939 )
( 6.883573758542418 , 4.2313300493217945 )
( 6.905503439970763 , 4.1885936265221355 )
( 6.988399431644398 , 4.02143452437396 )
( 10.014882350987078 , 5.2453475216826995 )
( 10.12616023790363 , 5.52732770746324 )
( 10.141519168083962 , 5.682610264919239 )
( 10.283440194375109 , 5.706457103856772 )
( 10.297470976818524 , 6.000925802208792 )
( 10.319485647693842 , 6.020858985696934 )
( 10.347552119362051 , 6.678147706991075 )
( 10.370246066787494 , 6.924163143664515 )
( 10.37929762540402 , 7.088029991926886 )
( 10.405172925106067 , 7.3489116945748165 )
( 10.420095012645382 , 7.494544710675541 )
( 10.470887640397777 , 7.511122170533424 )
( 10.509326263426379 , 7.621851958045289 )
( 10.527317881304397 , 7.702641222090154 )
( 10.541066167853181 , 7.736290380755664 )
( 10.569759510334897 , 7.849889187343846 )
( 10.61600485262316 , 8.398312719586878 )
( 10.631947897719662 , 8.546605453896374 )
( 10.724305704028035 , 8.647959380794966 )
( 10.74912268177943 , 8.669454151555064 )
( 10.82417246041903 , 8.96035503503604 )
( 10.833209775900718 , 8.97553085356297 )
( 10.866319034879627 , 9.068044254431296 )
( 10.934809707578808 , 9.223915702700571 )
( 10.93795334577652 , 9.232278193350238 )
( 10.961483211089314 , 9.241001222519975 )
( 10.968880254775888 , 9.340321593227946 )
( 11.002638236136656 , 9.530082906784964 )
( 11.04444931722339 , 9.697332971412393 )
( 11.162519393517107 , 9.850088229460972 )
( 11.216915652814647 , 10.02769626307479 )
( 11.263096415231116 , 10.305915957850011 )
( 11.315413858963158 , 10.340731888042354 )
( 11.33438573051356 , 10.692271754838842 )
( 11.444122263676576 , 10.713087756114028 )
( 11.488119133290642 , 10.930196100863744 )
( 11.540293513115543 , 11.022657632695699 )
( 11.608480500928586 , 11.063223609404734 )
( 11.6261157680655 , 11.233351234654037 )
( 11.664926045359348 , 11.280734210846413 )
( 11.696924286138904 , 11.296804248171842 )
( 11.75207843892462 , 11.501033116199622 )
( 11.884054412176608 , 11.650486368426249 )
( 11.947197872735737 , 11.715454508945584 )
( 12.01970668918854 , 11.78274736871931 )
( 12.147620402743478 , 11.949446920080211 )
( 12.158666269236928 , 12.316945301043217 )
( 12.266380514827611 , 12.424032285881475 )
( 12.31542364941051 , 12.589360183488308 )
( 12.321857561807928 , 12.627456780905263 )
( 12.32427771847044 , 12.788879311491941 )
( 12.359252793572605 , 12.842697448288401 )
( 12.401286443156279 , 13.019033783752972 )
( 12.4198515089255 , 13.04873065733863 )
( 12.459456587722832 , 13.119955484832454 )
( 12.516589278641158 , 13.29574425098925 )
( 12.544737695006102 , 13.312095511760733 )
( 12.583064632782758 , 13.397168189777679 )
( 12.593642327365552 , 13.604932230435116 )
( 12.612395336129007 , 13.6486769958527 )
( 12.627046835584782 , 13.75803419967224 )
( 12.67499094409722 , 13.81162297578035 )
( 12.722623966006374 , 14.052303306277489 )
( 12.723380288613338 , 14.150427632055369 )
( 12.731846939710877 , 14.206593552892699 )
( 12.757885606895458 , 14.20985520702761 )
( 12.76852853505946 , 14.453423509175757 )
( 12.808907492125705 , 14.62431909839273 )
( 12.844084972547236 , 14.738345066949877 )
( 12.974709937481766 , 14.82314600726318 )
( 12.982831986180578 , 14.931736244117092 )
( 13.008450631355567 , 15.10843191493286 )
( 13.082753765711214 , 15.582832572590284 )
( 13.10125237992549 , 15.593912419783727 )
( 13.10601614069028 , 15.881565694142244 )
( 13.110442518905073 , 15.945569917613993 )
( 13.15448129764799 , 16.29214920064454 )
( 13.177585006865769 , 16.429697851253962 )
( 13.204361282818907 , 16.867598301816173 )
( 13.208962367774987 , 16.880234747299145 )
( 13.234306942187334 , 17.12175871277605 )
( 13.247712571418012 , 17.275128909103522 )
( 13.255802956906185 , 17.338784936608864 )
( 13.319093059785292 , 17.455635119003116 )
( 13.332507296393535 , 17.60521959855277 )
( 13.34366654834486 , 17.773081820860654 )
( 13.463749380526778 , 17.88347945101038 )
( 13.551171500134217 , 17.954106722317665 )
( 13.599301294313626 , 18.03532287070128 )
( 13.677627247498773 , 18.14358860981786 )
( 13.695417082807376 , 18.53153248237563 )
( 13.722866893118427 , 18.749616532008798 )
( 13.727120307714918 , 18.752498184262585 )
( 13.750415467149061 , 19.048929274177453 )
( 13.823002384454776 , 19.28761735338033 )
( 13.837287329449836 , 19.334522568349183 )
( 13.894037081416391 , 20.61871099329538 )
( 13.907298835706463 , 20.871820785694517 )
( 13.959104196287244 , 20.891328314741664 )
( 13.985340319140866 , 20.914582814367755 )
( 14.06438090809056 , 5.13906883536 )
( 14.131494335859854 , 5.402758359921933 )
( 14.185589739051949 , 5.418149576080156 )
( 14.329606958170878 , 5.59109800791796 )
( 14.521596285538575 , 5.608399230130411 )
( 14.54548383930008 , 5.849948002452853 )
( 14.548764869353942 , 5.854213791916434 )
( 14.569021661431854 , 5.9502552806832405 )
( 14.59496208330117 , 6.098341877120561 )
( 14.63492544805826 , 6.466080887621022 )
( 14.714655413121136 , 6.468211861504759 )
( 14.743708423493272 , 6.728208143850474 )
( 14.772589141334 , 6.96829461385617 )
( 14.775990743910164 , 7.028009710238116 )
( 14.815640753045763 , 7.1373663715096995 )
( 14.858069523685781 , 7.186002358615963 )
( 14.960125779138748 , 7.332392528457746 )
( 14.987168985153566 , 7.4516652480730485 )
( 15.012530848159432 , 7.567958723683755 )
( 15.052687119075285 , 7.721166710647836 )
( 15.066581315194917 , 7.819567499034224 )
( 15.089953733586082 , 7.841911765952654 )
( 15.12435790933381 , 7.936636630901356 )
( 15.158160169443788 , 7.9709705690417145 )
( 15.317396790445576 , 8.204115434048097 )
( 15.321687548706073 , 8.291597186331884 )
( 15.329069828229603 , 8.711339694821607 )
( 15.4197777807713 , 8.770581505253029 )
( 15.420619189283528 , 8.79600480824052 )
( 15.529777131761655 , 8.815144935755484 )
( 15.580986932699663 , 9.074831623768002 )
( 15.69656978897328 , 9.147698882903095 )
( 15.72799862700525 , 9.184647691273021 )
( 15.73041787174668 , 9.254092613136859 )
( 15.742953222449323 , 9.362480281328741 )
( 15.79067524196789 , 9.480244141294078 )
( 15.800773239113823 , 9.602441537381242 )
( 15.831480482547096 , 9.768284541434767 )
( 15.875555543547495 , 9.881740184817698 )
( 15.887999880591686 , 9.882657372454643 )
( 15.930675812878524 , 9.911435636425848 )
( 15.95316072385463 , 10.14070538929821 )
( 16.020804099895493 , 10.353393292108878 )
( 16.072512066541194 , 10.373207298861708 )
( 16.084635576153143 , 10.39860022913715 )
( 16.086262738316268 , 10.432063211676263 )
( 16.086723590153746 , 10.470926680907722 )
( 16.097099746839532 , 10.48780151239683 )
( 16.11234742688523 , 10.550997953919213 )
( 16.169287015691328 , 10.658637944415544 )
( 16.255247087276715 , 10.783351636345042 )
( 16.426426024460604 , 10.786966453795706 )
( 16.465959829272016 , 10.830451264835684 )
( 16.516272982277485 , 11.090152190702044 )
( 16.604894732641696 , 11.110303816969965 )
( 16.77291634427772 , 11.19891997278495 )
( 16.832929737892787 , 11.212439137946728 )
( 16.867463339601002 , 11.322995907763378 )
( 17.007188746961578 , 11.426045469715234 )
( 17.028047448654977 , 11.533362703757538 )
( 17.053147942757402 , 11.817294979856017 )
( 17.107523338701036 , 11.967631677725915 )
( 17.20491279117631 , 12.011520429626458 )
( 17.253727191474695 , 12.076205674351641 )
( 17.288392780970295 , 12.332560073462478 )
( 17.291706296180248 , 12.457832237148388 )
( 17.313576293424216 , 12.636085625894907 )
( 17.352061079188157 , 12.641183369011495 )
( 17.3838354499551 , 12.756392956753139 )
( 17.428677843721037 , 12.811158871442734 )
( 17.45829312649031 , 13.05080729814503 )
( 17.478973589700878 , 13.15528320219158 )
( 17.640369615155755 , 13.28306063318431 )
( 17.69232851098872 , 13.633027129256519 )
( 17.80601851278731 , 13.831967690968822 )
( 17.806354769984694 , 13.833406547934455 )
( 17.812039561087452 , 14.057258023922902 )
( 17.875008062347455 , 14.139948399746045 )
( 17.89610815547489 , 14.146922252309952 )
( 17.983247988829707 , 14.184081742452634 )
( 18.090068969419846 , 14.385686694320794 )
( 18.123826862702824 , 14.602556171826643 )
( 18.13391979543116 , 14.759575651050552 )
( 18.28596965248938 , 14.777660632855277 )
( 18.324418769531203 , 14.782839594558588 )
( 18.349984874869406 , 15.24314005120446 )
( 18.392490769932085 , 15.407033527652798 )
( 18.397346568278063 , 15.42268360883312 )
( 18.52503152396467 , 15.460689009801024 )
( 18.54354247748816 , 15.634494826941818 )
( 18.59174689482975 , 15.881911739966354 )
( 18.601504655751032 , 16.104095206074177 )
( 18.60192415491612 , 16.109385269793563 )
( 18.60212503269817 , 16.241665997944843 )
( 18.610913516004807 , 16.34532855372826 )
( 18.695428414842404 , 16.395293403400657 )
( 18.764681884896184 , 16.49787323865927 )
( 18.800420800453296 , 16.49895117470608 )
( 18.82082876132864 , 16.663022676011963 )
( 18.8972809879561 , 16.838324346777213 )
( 19.013591469799785 , 7.921880283247086 )
( 19.04209473663053 , 7.860171594237296 )
( 19.057575368283874 , 7.857622037490239 )
( 19.07913279417949 , 7.831914390347062 )
( 19.090978459547586 , 7.830140962500362 )
( 19.10390139232266 , 7.729432332837112 )
( 19.115279559743957 , 7.685758147634808 )
( 19.126006575391695 , 7.559059430768981 )
( 19.13656251077128 , 7.520941901847659 )
( 19.152578339360833 , 7.4425677856380545 )
( 19.15467010381823 , 7.3773857500773445 )
( 19.15553253316545 , 7.25572960166344 )
( 19.158843156548468 , 7.215154388593756 )
( 19.186379288243867 , 7.20535053913328 )
( 19.246603077255244 , 7.16504379170029 )
( 19.250158869709793 , 7.150953711670285 )

( 19.27382683789603 , 6.878150931501285 )
( 19.307428628755908 , 6.862966630209195 )
( 19.32634301756772 , 6.698231625865818 )
( 19.345731083291415 , 6.5681915924600585 )
( 19.351317788381703 , 6.44227774525363 )
( 19.366916696486797 , 6.425199333440495 )
( 19.393947143988143 , 6.407717038667124 )
( 19.402064711792946 , 6.357173931957616 )
( 19.478576955914395 , 6.304237731631917 )
( 19.511918322078397 , 6.290499828787392 )
( 19.532126264608657 , 6.243995326730966 )
( 19.535146593962214 , 6.21204758115903 )
( 19.540986459447602 , 6.086765845673051 )
( 19.59045099792397 , 6.040900857813031 )
( 19.626666192390104 , 6.012380183291844 )
( 19.634055966396595 , 5.977306850859611 )
( 19.66049241419831 , 5.906894916592953 )
( 19.66373273668538 , 5.7167325449531745 )
( 19.668476582646374 , 5.6830872208712275 )
( 19.72237744575784 , 5.652615818336086 )
( 19.762897373718324 , 5.637764432612884 )
( 19.792878216719 , 5.615248169646508 )
( 19.79941420527427 , 5.610833910569607 )
( 19.804452401198986 , 5.476080134083345 )
( 19.886956620916862 , 5.355632541130991 )
( 19.92378823819166 , 5.2816914721954795 )
( 19.930054484941493 , 5.243205057857254 )
( 19.94192951196885 , 5.218261837364594 )
( 19.968839752124317 , 5.054697262624143 )
( 19.969239886348895 , 4.8004044518998645 )
( 19.981396064807758 , 4.731304105981333 )
( 20.02811570320887 , 4.604984368804335 )
( 20.07565929279891 , 4.604065905162871 )
( 20.08201750160434 , 4.542073418372022 )
( 20.094268743778716 , 4.5384543017522905 )
( 20.11416239068432 , 4.517404623656684 )
( 20.117069888161026 , 4.338391979977985 )
( 20.133563745680547 , 4.207426030973757 )
( 20.14340416294846 , 4.1333340840575925 )
( 20.252699514184105 , 4.120284832220692 )
( 20.28652956585965 , 4.101445476562965 )
( 20.306023886905987 , 4.096992232087791 )
( 20.312371584074732 , 4.038552112302722 )
( 20.317149939131614 , 3.993734870768126 )
( 20.317304951281518 , 3.910367709661651 )
( 20.331961580786363 , 3.86140175616071 )
( 20.344087126994346 , 3.7407498259538405 )
( 20.34916892729862 , 3.7243623459263677 )
( 20.37545893703144 , 3.5080734387841686 )
( 20.375498617283156 , 3.457057005916833 )
( 20.378443650096155 , 3.3751922276604454 )
( 20.37906670035772 , 3.3228229183286935 )
( 20.419974526798747 , 3.3206680437331517 )
( 20.421675639388805 , 3.0979409681611303 )
( 20.46415293249153 , 3.0214589588716168 )
( 20.467627122651702 , 2.996305941736461 )
( 20.472765686202173 , 2.8907438980489113 )
( 20.47588797786774 , 2.6841838880509714 )
( 20.511263241772074 , 2.6564554973337655 )
( 20.520580604667852 , 2.6283410115370343 )
( 20.56676527951753 , 2.563584575954205 )
( 20.59887921107357 , 2.5410055973855528 )
( 20.66162405614131 , 2.4268440346218956 )
( 20.69713764541689 , 2.4245818039190272 )
( 20.69812947764295 , 2.4233102971030824 )
( 20.69853649365712 , 2.2143056640928336 )
( 20.704241011505648 , 2.0330825073541066 )
( 20.707378371155198 , 1.8888399060138106 )
( 20.707911421124013 , 1.8671750517962398 )
( 20.76390182741386 , 1.8501226580596555 )
( 20.76626282299827 , 1.7667910132166353 )
( 20.785113011261775 , 1.6252701948876798 )
( 20.810900986930665 , 1.5790193955033276 )
( 20.813974885965106 , 1.540098467879191 )
( 20.818885906941652 , 1.4899911018876555 )
( 20.877017737974008 , 1.4329116754252764 )
( 20.89916432550754 , 1.3811308879678137 )
( 20.899869588146927 , 1.2822634265401547 )
( 20.926319821500563 , 1.1824374853042805 )
( 20.929537164904733 , 1.1518940764361627 )
( 20.930385736234953 , 1.1380237868746779 )
( 20.937928067424284 , 1.1184966090806805 )
( 20.956832575382084 , 1.111076831059136 )
( 20.962923961110192 , 1.0753778342421185 )
