( 1.13424033570912 , 4.023889881663365 )
( 4.943437293918606 , 8.01433598149926 )
( 4.990006251595085 , 8.064007895572782 )
( 5.011529978370027 , 8.12850652514447 )
( 5.0264752275766105 , 8.16697157905926 )
( 5.167886805572619 , 8.253470244970561 )
( 5.215183207368705 , 8.326678408367933 )
( 5.386806694362712 , 8.461234957510541 )
( 5.413425012122337 , 8.487764859932387 )
( 5.437945260086437 , 8.571118590201852 )
( 5.44043798144116 , 8.669178951099417 )
( 5.785976746012933 , 8.674871676028602 )
( 5.854605659534868 , 8.873432760520723 )
( 5.859963334247674 , 8.932583909511525 )
( 5.9325338188309455 , 8.976241483033938 )
( 5.947763310054325 , 9.458040042374659 )
( 6.021992249293227 , 9.748332019141733 )
( 6.023416204075275 , 9.91032646393947 )
( 6.109646680074625 , 9.93095933948981 )
( 6.12223449735038 , 10.076163537313814 )
( 6.150931776902617 , 10.103818867181207 )
( 6.173994652103334 , 10.490159754211604 )
( 6.187107491620323 , 10.527965642862299 )
( 6.205632036684796 , 10.853713465921455 )
( 6.222796111243354 , 10.858587270605646 )
( 6.229192092074664 , 10.902994588449115 )
( 6.2611935961020615 , 11.015267832203584 )
( 6.269065686055452 , 11.227537729847445 )
( 6.307631428881185 , 11.280331142489608 )
( 6.3521140223407855 , 11.326102461966222 )
( 6.496110012706252 , 11.344640145291198 )
( 6.6191553759131185 , 11.482856535240202 )
( 6.646026910393658 , 11.672126660709516 )
( 6.767033111215679 , 11.745765210817375 )
( 6.787943956679128 , 11.75174363320324 )
( 6.78822909326671 , 11.82065867303505 )
( 6.878613806144489 , 11.916694425562167 )
( 10.024003500658152 , 20.77239542362535 )
( 10.024124368904204 , 20.568010844812562 )
( 10.083259481300356 , 20.427234174363477 )
( 10.150284843487674 , 20.113582246981448 )
( 10.215321911463157 , 20.017228359112906 )
( 10.219781801504958 , 19.894964153562135 )
( 10.248150544762737 , 19.50947803979154 )
( 10.273888867328072 , 19.45034311627687 )
( 10.315373579786726 , 19.422852942098103 )
( 10.353316864516845 , 19.31342435745499 )
( 10.386506457127515 , 19.22031321157109 )
( 10.389559593257516 , 18.780482025061808 )
( 10.41203109245344 , 18.720336761349284 )
( 10.48635619406 , 18.60684204094273 )
( 10.528726380238398 , 18.568387692107912 )
( 10.656852688271067 , 18.48774967851668 )
( 10.659174080765219 , 18.401478889271594 )
( 10.683740445395896 , 18.35603115135108 )
( 10.68602326388692 , 17.939204328782097 )
( 10.847058937989573 , 17.845784101126704 )
( 10.949486301334211 , 17.734958296282926 )
( 10.955077897899276 , 17.733940662016757 )
( 10.967398134655538 , 16.901044776942683 )
( 11.032904975325478 , 16.809673713873956 )
( 11.034792222622862 , 16.727011132377505 )
( 11.039207049494024 , 16.553791981926803 )
( 11.046394101208243 , 16.50488422262785 )
( 11.11225633246287 , 16.326602240197477 )
( 11.125369279015992 , 16.205191528847653 )
( 11.1839549942285 , 16.013647686127804 )
( 11.186849557177077 , 15.957369750601345 )
( 11.212768888339374 , 15.92805045629901 )
( 11.263345065400427 , 15.733953332691158 )
( 11.268205291342747 , 15.70729925978026 )
( 11.292167509240295 , 15.405738604922114 )
( 11.316702683869783 , 15.345474845580467 )
( 11.352515588010874 , 15.210330702221796 )
( 11.388092295688232 , 15.106628477218617 )
( 11.428405320265107 , 15.037897593246127 )
( 11.47271677045649 , 15.026307840178305 )
( 11.483358307933932 , 14.661809313900482 )
( 11.557819765324785 , 14.572648047242547 )
( 11.572020902412948 , 14.33587319378309 )
( 11.698735803526054 , 14.098998385783375 )
( 11.734652540825603 , 13.966765812871225 )
( 11.749563247031384 , 13.654241252740263 )
( 11.833855679737106 , 13.363970646244201 )
( 11.863613995950278 , 13.10944605835314 )
( 11.90821112547376 , 13.100064974676252 )
( 12.007420198664434 , 13.053282334243528 )
( 12.038398494345234 , 13.024364844745355 )
( 12.04788804433674 , 12.854105372321143 )
( 12.0821140576691 , 12.656775676761608 )
( 12.107382369467633 , 12.507767917287055 )
( 12.160159565511341 , 12.488434480696785 )
( 12.182716348032004 , 12.37941411215679 )
( 12.220506818686033 , 12.35595963609956 )
( 12.288607701675353 , 12.355130179695987 )
( 12.351054420704319 , 12.278235819987145 )
( 12.374116496167987 , 12.13341296829207 )
( 12.457755184920867 , 12.075731323605995 )
( 12.458802713415015 , 11.492423794815815 )
( 12.571960903479034 , 11.321987125758973 )
( 12.572918168258115 , 11.096294033116958 )
( 12.615180030564803 , 10.68685660141035 )
( 12.764953884584415 , 10.653402826298919 )
( 12.7976348906372 , 10.370742052525838 )
( 12.872447159114158 , 10.35476119833222 )
( 12.876436985491331 , 10.345027354210618 )
( 12.891887325441449 , 10.210662985134508 )
( 12.938247212614016 , 9.865962248207255 )
( 12.946824640992086 , 9.647707096368812 )
( 13.03708492142296 , 9.525312689754161 )
( 13.138727203277414 , 9.33375972073935 )
( 13.184791309771473 , 9.23335871384341 )
( 13.213708791378117 , 9.075305949617325 )
( 13.342280722652653 , 8.991347087249551 )
( 13.373133330748027 , 8.980333280120414 )
( 13.459805647836864 , 8.9535102471791 )
( 13.464798725913383 , 8.81472255257242 )
( 13.525115604570043 , 8.776141473918791 )
( 13.577998205216783 , 8.751958944252786 )
( 13.61198017415916 , 8.69122888422618 )
( 13.710419613322562 , 8.564705654343442 )
( 13.74307942393365 , 8.540495378432299 )
( 13.748604028917672 , 8.504733686916024 )
( 13.772348004049922 , 8.282804149577792 )
( 13.776027255264825 , 8.268276375133631 )
( 13.784836639907057 , 8.255259695380031 )
( 13.81855318673394 , 7.640290794728671 )
( 13.844255209742808 , 7.28852007219567 )
( 13.868341035790076 , 7.045135460418413 )
( 13.869841094072953 , 6.971512248141062 )
( 13.881950029661489 , 6.501245650299007 )
( 13.918959322513906 , 6.154669502726202 )
( 13.930835211428615 , 6.0959246180687074 )
( 13.932029424083154 , 6.058003482511804 )
( 13.953515246339741 , 6.028778093914504 )
( 13.962698929188688 , 5.8091895916709735 )
( 13.978537457782167 , 5.783775961479618 )
( 14.184419745598817 , 3.0122431265403065 )
( 14.20721588652234 , 3.0189208843639244 )
( 14.238220363203347 , 3.036246953007728 )
( 14.28937991545606 , 3.049924679747358 )
( 14.315889246511885 , 3.056992716007768 )
( 14.431070856372543 , 3.0724603854099115 )
( 14.437622119954465 , 3.0887405004596475 )
( 14.511193172475677 , 3.113611406483135 )
( 14.533514077562035 , 3.1143993711349514 )
( 14.715304807044438 , 3.1592773802261487 )
( 14.755880512784424 , 3.1778747497260222 )
( 14.798494184656894 , 3.2134698007614952 )
( 14.807729111371804 , 3.232344960215636 )
( 14.89359408616407 , 3.264752055784899 )
( 14.897534820424282 , 3.294382731441857 )
( 14.925827363809145 , 3.3196872697665585 )
( 14.929375053032512 , 3.322341420856639 )
( 14.958145893899061 , 3.372374141675369 )
( 14.997493002107628 , 3.3913407518259335 )
( 15.035675969960462 , 3.4091578428071956 )
( 15.06295313669228 , 3.4190621297991552 )
( 15.107852495947485 , 3.4367358639119896 )
( 15.15002458367133 , 3.4513083416455457 )
( 15.193157367763177 , 3.4566734747983703 )
( 15.228287571873299 , 3.4666493935833076 )
( 15.250370375243623 , 3.4850965117441657 )
( 15.27471879262552 , 3.5301804133222108 )
( 15.330204514609463 , 3.5516616974897857 )
( 15.3433170849428 , 3.561758560444022 )
( 15.425006033310009 , 3.570542200885577 )
( 15.425599654634862 , 3.607404538986784 )
( 15.528465010670464 , 3.6380089261229833 )
( 15.591130617425334 , 3.6522833571399564 )
( 15.595380482888142 , 3.737156961265515 )
( 15.618686517832382 , 3.756556614136076 )
( 15.691140772718212 , 3.812099665845695 )
( 15.697586225594783 , 3.8174891802594426 )
( 15.71424800585006 , 3.827025604240516 )
( 15.85596339396558 , 3.8355858074369302 )
( 15.86699342857766 , 3.8549627617201487 )
( 15.896171284403394 , 3.856733804432732 )
( 16.001629054835515 , 3.898845024506092 )
( 16.046526720202042 , 3.9586233592336093 )
( 16.14232680967504 , 4.033320547305743 )
( 16.154986078159524 , 4.040430391572602 )
( 16.15688642588599 , 4.0516337435191945 )
( 16.161290854933007 , 4.117282040384529 )
( 16.176593682273168 , 4.18795562054971 )
( 16.206824638693984 , 4.215689189471748 )
( 16.231854722963433 , 4.217205188066618 )
( 16.252180393811436 , 4.226780905810158 )
( 16.48148273424506 , 4.232804634207437 )
( 16.52406452199382 , 4.2719888932069505 )
( 16.526626428807845 , 4.280239987938078 )
( 16.571086304843668 , 4.322619007849543 )
( 16.826061365850304 , 4.338859003772737 )
( 16.909336743703463 , 4.340970805151592 )
( 16.93704230686267 , 4.344855043461832 )
( 16.948936525166975 , 4.347032078599135 )
( 16.970321738648032 , 4.350492236572194 )
( 16.97135593638804 , 4.362855816568808 )
( 17.05902298415255 , 4.386552217733916 )
( 17.109442246978524 , 4.394096302564832 )
( 17.187023024707912 , 4.43058727648863 )
( 17.1905959494575 , 4.512338429885089 )
( 17.268449394011103 , 4.554494455278211 )
( 17.361663957432594 , 4.560694616449451 )
( 17.390998922811814 , 4.571337733814743 )
( 17.411576867295743 , 4.611714055272792 )
( 17.441461925197345 , 4.620781977337225 )
( 17.478845539270765 , 4.630231577187846 )
( 17.583678533169866 , 4.659388109756923 )
( 17.666714469440883 , 4.660805414217442 )
( 17.719953485260458 , 4.6766569486398515 )
( 17.770955751732956 , 4.723635146549579 )
( 17.8299878157366 , 4.745035847291341 )
( 17.884490346787704 , 4.748902274406112 )
( 17.907773458658994 , 4.774563263807882 )
( 17.927145606971514 , 4.789235507200811 )
( 17.929819429334028 , 4.789856436190157 )
( 18.091906241984894 , 4.8101973952531685 )
( 18.14067460473881 , 4.810293381176043 )
( 18.14614013049861 , 4.833531476276109 )
( 18.154999026675135 , 4.836946272022957 )
( 18.223322396264873 , 4.840019525992491 )
( 18.240609215807968 , 4.857575815745594 )
( 18.27215048777377 , 4.883388276798977 )
( 18.27697583224953 , 4.897963237667176 )
( 18.306293398517496 , 4.901249452475417 )
( 18.30826615341311 , 4.906557151687343 )
( 18.339595830383452 , 4.90879614858995 )
( 18.512426465886904 , 4.918729554220184 )
( 18.528417981394256 , 4.927987162707564 )
( 18.584099621138698 , 4.928083496873352 )
( 18.60883697193039 , 4.932751538646908 )
( 18.66072572562144 , 4.936721348753906 )
( 18.70381688350789 , 4.9372859240721905 )
( 18.706182110906475 , 4.974490397064541 )
( 18.794454446914422 , 4.974894598634272 )
( 18.92678720197197 , 4.998911312090993 )
( 19.015928356475456 , 7.949907866099174 )
( 19.02522560858992 , 7.858664149856216 )
( 19.067875631848132 , 7.8356554560963145 )
( 19.09446462647243 , 7.703519116419238 )
( 19.132925978418847 , 7.689157231390123 )
( 19.173479194254345 , 7.53334368218597 )
( 19.176406487783716 , 7.499723467936443 )
( 19.186348470525537 , 7.4982145846480535 )
( 19.19158462059112 , 7.320203353430771 )
( 19.207079475829595 , 7.257519752253335 )
( 19.233135271031706 , 7.217472341120696 )
( 19.239972963722025 , 7.210107770972609 )
( 19.27020043576745 , 7.187464115801038 )
( 19.300444080436478 , 7.175183138613095 )
( 19.40275622587116 , 7.115897786539039 )
( 19.41149986415062 , 7.0849588872692735 )
( 19.413406707254207 , 7.040467092607155 )
( 19.422664167279212 , 6.932497048772229 )
( 19.43941720851152 , 6.833481814396215 )
( 19.479797007783034 , 6.796402196385499 )
( 19.483448868011763 , 6.652367754926628 )
( 19.57626118852242 , 6.612108102440512 )
( 19.580871753012556 , 6.504806205612456 )
( 19.581489305969875 , 6.471247644728642 )
( 19.597294364837577 , 6.440020205349826 )
( 19.610329012147474 , 6.177095405347734 )
( 19.610563146387904 , 6.155294657020602 )
( 19.6333212295286 , 6.110998000841689 )
( 19.6711906292595 , 6.055341945832275 )
( 19.676556715316234 , 5.958747382305161 )
( 19.702123375730725 , 5.948843586368314 )
( 19.705055091863823 , 5.90320455789831 )
( 19.746499794932966 , 5.862679694198707 )
( 19.755096604252632 , 5.775778361796503 )
( 19.772353631984505 , 5.59291596513358 )
( 19.77536587920587 , 5.5282525343984705 )
( 19.7842543216739 , 5.496639420766677 )
( 19.813519837108224 , 5.468993373330671 )
( 19.83004162431873 , 5.382885995391392 )
( 19.835608291389963 , 5.287974798875262 )
( 19.85024166004335 , 5.2871716993418385 )
( 19.89905446155334 , 5.273895393156719 )
( 19.907001271285317 , 5.253905112978821 )
( 19.914125522281356 , 5.1856419951453425 )
( 19.936186264547246 , 5.170984697717115 )
( 19.966020920930497 , 5.051733927247923 )
( 19.98791786824052 , 5.04380334792226 )
( 19.992814438787807 , 5.027571566954631 )
( 20.005816049430944 , 4.997647827881441 )
( 20.03256900304473 , 4.978881759722597 )
( 20.033893295131847 , 4.916302608096048 )
( 20.044081108246893 , 4.8838890906018415 )
( 20.049567576673795 , 4.870892765449053 )
( 20.055858992069485 , 4.600731942860903 )
( 20.057740847339183 , 4.524215032846765 )
( 20.07389023000504 , 4.400063440436087 )
( 20.101976451770703 , 4.169736870388936 )
( 20.10335802349227 , 4.072764327970831 )
( 20.110687949443406 , 4.0715716899892 )
( 20.115383331572907 , 3.975644730185703 )
( 20.144230729944315 , 3.9263072456915804 )
( 20.178311419739913 , 3.908334890897703 )
( 20.18283406311184 , 3.8991119701401926 )
( 20.19940126092518 , 3.889616047783928 )
( 20.278883904160736 , 3.8887724915671065 )
( 20.296970041931964 , 3.6919270139498233 )
( 20.317451262375787 , 3.6754408282850735 )
( 20.354724491658427 , 3.669269978416879 )
( 20.369103045938044 , 3.6241967532209474 )
( 20.37932308027768 , 3.520660729359303 )
( 20.426321724491256 , 3.4966502665476975 )
( 20.446592783771976 , 3.3740936480970287 )
( 20.470523449872957 , 3.3581058272601405 )
( 20.471496545922047 , 3.293511119355527 )
( 20.507353119228213 , 3.232088953558196 )
( 20.50856107024719 , 3.1475732104083436 )
( 20.54697906069181 , 3.1128830162947656 )
( 20.549342613774385 , 3.0966551055804707 )
( 20.561967478722195 , 3.018614724975338 )
( 20.56641517123558 , 2.9253030865678493 )
( 20.581295371506798 , 2.789646104998357 )
( 20.62876241479185 , 2.7454380999100483 )
( 20.673360443924402 , 2.692779755393655 )
( 20.68667594228194 , 2.6688411416607547 )
( 20.713003997111734 , 2.438436597339437 )
( 20.738575959082855 , 2.326866644311072 )
( 20.74925824729454 , 2.1453995310872127 )
( 20.779352689751054 , 2.1143262262789353 )
( 20.794072556028446 , 2.0508334591993407 )
( 20.799078975472305 , 2.0499297134626193 )
( 20.845231206823147 , 1.8801883402967459 )
( 20.852139758626734 , 1.7390196984296127 )
( 20.85249805922091 , 1.7025448134575694 )
( 20.860209457154504 , 1.6701475301807598 )
( 20.890750452928966 , 1.6057574634001197 )
( 20.896600746884815 , 1.5388847422866379 )
( 20.90030899071554 , 1.4063194186576622 )
( 20.902398692931857 , 1.224082417816641 )
( 20.90546290717153 , 1.1518604845514009 )
( 20.959567050352124 , 1.0691285481127153 )

​

